站点ID,站点名称,线路编号,序号,经纬度
BV10400948,水木天成公交站,700路,1,"117.130339,39.165317"
BV10041172,西河桥,700路,2,"117.136604,39.164995"
BV10041171,秀水苑,700路,3,"117.143273,39.172578"
BV10041168,集平里,700路,4,"117.147629,39.171518"
BV10040792,洪湖里,700路,5,"117.153053,39.168633"
BV10040788,红旗地道,700路,6,"117.150845,39.160902"
BV10040478,民族中学,700路,7,"117.149203,39.1545"
BV10041546,跃进里,700路,8,"117.144073,39.154327"
BV10041259,幸福里,700路,9,"117.138626,39.151463"
BV10041926,小园,700路,10,"117.138618,39.143555"
BV10041927,天泰小区,700路,11,"117.138657,39.13905"
BV10042011,渭水道,700路,12,"117.138602,39.132895"
BV09196114,咸阳路长江道,700路,13,"117.138668,39.129275"
BV10896751,嘉陵南里,700路,14,"117.138657,39.125153"
BV11671771,城市规划设计总院,700路,15,"117.137843,39.118966"
BV10327136,保泽道,700路,16,"117.13194,39.103633"
BV11111170,新技术产业园区,700路,17,"117.124023,39.098003"
BV10041300,侯台村,700路,18,"117.118793,39.098741"
BV09250346,王顶堤馨苑,700路,19,"117.105811,39.090635"
BV10041301,农学院,700路,20,"117.100126,39.088943"
BV10041871,城建大学,700路,21,"117.095535,39.088959"
BV10041303,宝德学院,700路,22,"117.092691,39.088954"
BV10041870,华科大街,700路,23,"117.091147,39.09261"
BV10041869,海泰华科一路,700路,24,"117.086838,39.094788"
BV11293183,海泰北,700路,25,"117.081175,39.097133"
BV11293186,农行客服中心,700路,26,"117.073978,39.097854"
BV10042805,电子科技十八所,700路,27,"117.07089,39.098125"
BV10042804,高新区软件园,700路,28,"117.065109,39.095356"
BV10044962,海泰西路,700路,29,"117.065887,39.093191"
BV11293186,农行客服中心,700路,30,"117.073723,39.097524"
BV10041868,海泰北公交站,700路,31,"117.080418,39.09676"
BV10404228,跃升里公交站,639路西线支线,1,"117.117897,39.152917"
BV11075114,跃升里,639路西线支线,2,"117.117035,39.153481"
BV09265932,尊和园,639路西线支线,3,"117.116168,39.160543"
BV09265930,民康园,639路西线支线,4,"117.122747,39.161359"
BV11690696,营瑞路,639路西线支线,5,"117.122003,39.164438"
BV11690695,罗浮路,639路西线支线,6,"117.114958,39.16363"
BV10707542,国和园,639路西线支线,7,"117.113711,39.161345"
BV11075114,跃升里,639路西线支线,8,"117.116798,39.153084"
BV10404228,跃升里公交站,639路西线支线,9,"117.11778,39.152858"
BV10041110,榆关道,852路(临时),1,"117.184288,39.185203"
BV11372100,白庙,852路(临时),2,"117.17952,39.187874"
BV10040920,勤俭桥,852路(临时),3,"117.163772,39.181173"
BV10040245,勤俭道,852路(临时),4,"117.163473,39.178873"
BV10040244,丁字沽,852路(临时),5,"117.167145,39.177101"
BV10040257,西沽,852路(临时),6,"117.172536,39.171902"
BV10040243,西于庄,852路(临时),7,"117.173492,39.167244"
BV10040258,新三条石大街,852路(临时),8,"117.177448,39.15168"
BV10040553,御河湾,852路(临时),9,"117.17454,39.15309"
BV10040552,大丰西胡同,852路(临时),10,"117.169708,39.154278"
BV10041042,大丰桥,852路(临时),11,"117.168892,39.151524"
BV10041049,西马路,852路(临时),12,"117.169653,39.146532"
BV10041040,铃铛阁,852路(临时),13,"117.166988,39.146506"
BV10041606,康华里,852路(临时),14,"117.163665,39.144931"
BV10041548,西关大街,852路(临时),15,"117.163418,39.142003"
BV10041544,瑞德里,852路(临时),16,"117.163322,39.139519"
BV10042036,五十中学,852路(临时),17,"117.16316,39.136646"
BV10041660,西市大街,852路(临时),18,"117.161886,39.131937"
BV10040811,凯立家园,852路(临时),19,"117.157682,39.129657"
BV10040812,公交三公司,852路(临时),20,"117.147635,39.130599"
BV10040813,长江公寓,852路(临时),21,"117.1434,39.130603"
BV09196114,咸阳路长江道,852路(临时),22,"117.138668,39.129275"
BV10896751,嘉陵南里,852路(临时),23,"117.138657,39.125153"
BV10041533,雅安西里,852路(临时),24,"117.137216,39.122465"
BV10041534,资阳路,852路(临时),25,"117.131758,39.122508"
BV10042063,川南里,852路(临时),26,"117.12842,39.123376"
BV10041535,川府新村,852路(临时),27,"117.126085,39.124843"
BV10403498,川府新村公交站,852路(临时),28,"117.126631,39.124402"
BV10403581,金钟河大街公交站,368路,1,"117.216875,39.155037"
BV10733773,新大路,368路,2,"117.211445,39.152248"
BV11430221,新开路地道,368路,3,"117.213913,39.145027"
BV10041055,李地大街,368路,4,"117.215927,39.142773"
BV10041059,李公楼,368路,5,"117.220208,39.137826"
BV10762490,南横街,368路,6,"117.223138,39.134122"
BV11430219,唐口地道,368路,7,"117.227479,39.130418"
BV10403802,河东支队,368路,8,"117.234241,39.128348"
BV10403811,唐口南里,368路,9,"117.242122,39.125627"
BV10040748,泰兴南路,368路,10,"117.253491,39.123056"
BV11646079,泰昌路地铁站,368路,11,"117.256541,39.122111"
BV11150272,万东路地铁站,368路,12,"117.268933,39.118092"
BV11646077,沙柳南路地铁站,368路,13,"117.287015,39.117836"
BV10040835,东城家园,368路,14,"117.292417,39.117213"
BV10043937,舒畅园,368路,15,"117.294436,39.114718"
BV10043938,好美嘉园,368路,16,"117.294891,39.111408"
BV10043939,嘉春园,368路,17,"117.29895,39.110077"
BV11208800,嘉春园东门,368路,18,"117.300639,39.109253"
BV09053300,惠山道吉安路,368路,19,"117.304052,39.106355"
BV09304864,临时站,368路,20,"117.30709,39.107389"
BV10872123,归航路,368路,21,"117.308754,39.109566"
BV11131419,雅悦园,368路,22,"117.314972,39.108145"
BV10977393,秀悦园,368路,23,"117.319931,39.107037"
BV11054726,贵环小区公交站,368路,24,"117.324738,39.103024"
BV10040772,水上公园东门,668路,1,"117.174236,39.091476"
BV10044513,霞光道,668路,2,"117.173485,39.085278"
BV10044512,动物园东门,668路,3,"117.173103,39.081581"
BV10041640,体育中心北,668路,4,"117.174892,39.079274"
BV11439419,肿瘤医院地铁站,668路,5,"117.186903,39.079702"
BV10040383,宾水桥,668路,6,"117.192757,39.082031"
BV11259730,天津宾馆地铁站,668路,7,"117.197721,39.084846"
BV10040401,欧亚花园,668路,8,"117.19967,39.084408"
BV10829079,宾西楼站,668路,9,"117.202042,39.081827"
BV10041850,宾馆南道宾西楼,668路,10,"117.203766,39.081753"
BV10041530,天津博物馆,668路,11,"117.209801,39.083981"
BV10491750,文化中心图书馆,668路,12,"117.215324,39.084031"
BV10567930,光华里,668路,13,"117.218643,39.08479"
BV10041073,科技馆,668路,14,"117.219523,39.0877"
BV11430230,隆昌路滦水道,668路,15,"117.220156,39.090308"
BV11040860,南楼地铁站,668路,16,"117.223846,39.095039"
BV10041196,东楼,668路,17,"117.223305,39.100266"
BV10040801,下瓦房地铁站,668路,18,"117.223518,39.104095"
BV11109958,福建路站,668路,19,"117.225026,39.106333"
BV10041966,怡安温泉公寓,668路,20,"117.235336,39.111679"
BV10041335,大直沽三号路,668路,21,"117.238473,39.111659"
BV10041336,大直沽后台,668路,22,"117.24236,39.11256"
BV10040605,大桥道,668路,23,"117.247391,39.110099"
BV10040604,二宫,668路,24,"117.256714,39.104488"
