车站ID,名称,路线,序号,经度,纬度
BV09160581,览桥里,1路,1,117.240666,39.172906
BV10040692,三和小区,1路,2,117.237761,39.175733
BV11379810,建昌道地铁站,1路,3,117.235332,39.179017
BV10040697,春和仁居,1路,4,117.231567,39.177959
BV10040691,建昌桥,1路,5,117.22803,39.175915
BV11146649,泗阳道,1路,6,117.224467,39.173881
BV11323236,建昌道育红路,1路,7,117.222226,39.171613
BV10040688,建昌道,1路,8,117.222639,39.169305
BV11424935,中山北路育红路,1路,9,117.226376,39.166554
BV11430082,北宁公园地铁站,1路,10,117.221612,39.166076
BV10702460,北宁公园,1路,11,117.215339,39.165994
BV10040683,北站,1路,12,117.206157,39.163988
BV09138392,中山路地铁站,1路,13,117.203994,39.161942
BV10702450,宙纬路,1路,14,117.20047,39.158203
BV10702451,黄纬路站,1路,15,117.199234,39.15704
BV10702445,金钢桥,1路,16,117.195511,39.153008
BV10040682,东北角,1路,17,117.190287,39.143095
BV09189350,东南角,1路,18,117.190365,39.13978
BV09135992,东南角地铁站,1路,19,117.190438,39.13571
BV10040701,新华路百货大楼,1路,20,117.189955,39.132056
BV10483865,蓉芳里,1路,21,117.187316,39.12858
BV10483864,万全道,1路,22,117.191569,39.127266
BV11430047,河北路哈密道,1路,23,117.195221,39.125386
BV11430046,河北路滨江道,1路,24,117.20023,39.123251
BV11430220,营口道山东路站,1路,25,117.203447,39.122463
BV11237355,和平路地铁站,1路,26,117.205221,39.127674
BV10502416,津塔公交站,1路,27,117.201208,39.128519
BV10404228,跃升里公交站,3路,1,117.117897,39.152917
BV10404017,冬云里,3路,2,117.12152,39.153236
BV09186166,青云桥,3路,3,117.127186,39.153256
BV10040822,锦园里,3路,4,117.127689,39.149988
BV09074923,青云桥南,3路,5,117.126096,39.147143
BV10040819,汾水道,3路,6,117.126115,39.141094
BV10040830,雅润嘉园,3路,7,117.128143,39.137726
BV10040831,向阳路,3路,8,117.131048,39.136257
BV10040832,泾水园,3路,9,117.131064,39.132445
BV10040815,西昌里,3路,10,117.132427,39.130534
BV10040814,左云里,3路,11,117.136482,39.130524
BV10040813,长江公寓,3路,12,117.142752,39.130521
BV10040812,公交三公司,3路,13,117.147687,39.130512
BV10040811,凯立家园,3路,14,117.158295,39.129318
BV10040810,南丰路,3路,15,117.164931,39.126541
BV10040809,南开三马路,3路,16,117.172615,39.124115
BV11430231,海光寺地铁站,3路,17,117.176573,39.122739
BV10844549,南京路海光寺,3路,18,117.182276,39.120892
BV11038528,鞍山道地铁站,3路,19,117.188637,39.120152
BV10040806,滨江道,3路,20,117.195404,39.119194
BV10040805,长沙路,3路,21,117.202179,39.117708
BV10040804,湖北路,3路,22,117.20934,39.116632
BV10040828,小营门,3路,23,117.213921,39.115551
BV10040803,大营门,3路,24,117.218704,39.113117
BV10040827,天津图书大厦,3路,25,117.221283,39.110218
BV11357724,下瓦房公交站,3路,26,117.223989,39.105725
BV10691119,天津站公交站,5路,1,117.205966,39.135983
BV09246907,建国道地铁站,5路,2,117.201632,39.138333
BV11660684,胜利路,5路,3,117.198744,39.140084
BV10040418,平安街,5路,4,117.196324,39.138095
BV10702448,时代广场,5路,5,117.187492,39.136974
BV10702453,鼓楼东,5路,6,117.186263,39.140642
BV10040562,城厢东路,5路,7,117.185816,39.143529
BV09271087,北门,5路,8,117.182921,39.146128
BV11181469,估衣街,5路,9,117.181076,39.147482
BV10040259,三条石,5路,10,117.179733,39.153164
BV10040243,西于庄,5路,11,117.173921,39.166276
BV10040257,西沽,5路,12,117.172136,39.173453
BV09109979,桃花园南里,5路,13,117.168394,39.179071
BV10041052,丁字沽公交站,5路,14,117.165605,39.181628
BV10691119,天津站公交站,8路,1,117.205773,39.13599
BV11660684,胜利路,8路,2,117.198744,39.140084
BV10040418,平安街,8路,3,117.196324,39.138095
BV11275350,意式风情区,8路,4,117.196142,39.135358
BV10040419,百货大楼,8路,5,117.191133,39.131589
BV10040677,保安大街,8路,6,117.184245,39.126194
BV11628495,多伦道甘肃路,8路,7,117.184154,39.124926
BV10844549,南京路海光寺,8路,8,117.182276,39.120892
BV10040425,总医院,8路,9,117.186501,39.11935
BV10040426,新兴路,8路,10,117.184543,39.117051
BV10664928,七里台,8路,11,117.179605,39.111973
BV10664927,八里台,8路,12,117.179427,39.10582
BV10599331,天塔地铁站,8路,13,117.177574,39.095872
BV10041360,水上公园,8路,14,117.175522,39.092435
BV10040289,苍穹道,8路,15,117.180082,39.088446
BV11296186,环湖西里,8路,16,117.181333,39.082692
BV10041640,体育中心北,8路,17,117.17546,39.079375
BV09196105,体育中心西,8路,18,117.172661,39.077639
BV10044735,体育中心公交站,8路,19,117.172976,39.073216
BV10691119,天津站公交站,9路,1,117.206195,39.135859
BV11066840,渤海大楼,9路,2,117.205009,39.127691
BV11425536,河北路山东路,9路,3,117.201789,39.122467
BV11426777,河北路烟台道,9路,4,117.203972,39.119797
BV10041867,黄家花园,9路,5,117.203285,39.11496
BV10041866,桂林路,9路,6,117.197231,39.109852
BV10041864,体育馆,9路,7,117.195037,39.107846
BV10041879,贵州路天和医院,9路,8,117.194204,39.102205
BV10040937,佟楼,9路,9,117.190371,39.100638
BV10040780,气象台路德才里,9路,10,117.18607,39.098786
BV10040530,东风里,9路,11,117.186017,39.094707
BV10041174,气象南里,9路,12,117.185028,39.088716
BV10041165,华夏未来,9路,13,117.185391,39.085272
BV10041164,体院北,9路,14,117.188233,39.081057
BV11427688,环湖中路体北道,9路,15,117.190598,39.076641
BV10041715,环湖中路,9路,16,117.192228,39.072189
BV10041716,纪庄子前街,9路,17,117.189178,39.071262
BV10040537,中石油桥,9路,18,117.187439,39.067953
BV10040538,津涞花园,9路,19,117.185421,39.065352
BV10040539,杨楼,9路,20,117.178589,39.063142
BV10044902,惠鑫花园,9路,21,117.173929,39.0592
BV10044901,中盛里,9路,22,117.17501,39.055895
BV10042212,芳溪园,9路,23,117.17261,39.054255
BV10042507,金丽花园,9路,24,117.170581,39.057042
BV10040541,王台村,9路,25,117.156606,39.057044
BV10040531,邓店村,9路,26,117.150871,39.055466
BV09219097,理工大学主校区,9路,27,117.146286,39.054485
BV11528134,喜峰道西公交站,12路,1,117.188095,39.183494
BV10041110,榆关道,12路,2,117.184908,39.183373
BV10426051,南口路,12路,3,117.189074,39.179257
BV10041102,新开桥,12路,4,117.194973,39.172751
BV10041104,河北四马路,12路,5,117.202366,39.165644
BV09138392,中山路地铁站,12路,6,117.20365,39.161409
BV10702450,宙纬路,12路,7,117.20047,39.158203
BV10702451,黄纬路站,12路,8,117.19912,39.156937
BV10702445,金钢桥,12路,9,117.195511,39.153008
BV10040305,东马路,12路,10,117.188815,39.145946
BV09271087,北门,12路,11,117.182816,39.14613
BV10040303,中研院附属医院,12路,12,117.173851,39.146446
BV11040905,西北角地铁站,12路,13,117.17168,39.145486
BV10040300,南马路,12路,14,117.171875,39.13987
BV11427260,翔宇公园,12路,15,117.173726,39.133356
BV09130088,二纬路地铁站,12路,16,117.174621,39.129743
BV10040297,长江道,12路,17,117.174373,39.126068
BV11430231,海光寺地铁站,12路,18,117.176573,39.122739
BV11296187,六里台,12路,19,117.179657,39.11628
BV10664928,七里台,12路,20,117.179606,39.112058
BV10664927,八里台,12路,21,117.179427,39.10582
BV10599331,天塔地铁站,12路,22,117.177574,39.095872
BV10041360,水上公园,12路,23,117.175522,39.092435
BV10040289,苍穹道,12路,24,117.180082,39.088446
BV11296186,环湖西里,12路,25,117.181333,39.082692
BV11296199,体育中心东,12路,26,117.182491,39.077522
BV11427425,奥体道,12路,27,117.18322,39.074181
BV10040284,李七庄,12路,28,117.184448,39.070877
BV10040537,中石油桥,12路,29,117.187416,39.067978
BV09271791,纪明家园站,12路,30,117.190163,39.06492
BV09053294,丽江道地铁站,12路,31,117.192434,39.061436
BV10041819,王兰庄,12路,32,117.193613,39.057833
